model_id	family	predictor_modality	predictor_target	predictor_quantity	outcome	covariates	priority	predictor_column	covariates_used	loo_n	loo_beta_min	loo_beta_max	loo_beta_mean	loo_same_sign_pct
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.5326265968438768	-0.41381406914378627	-0.4816018032779678	100.0
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.6176082977748978	-0.47597419105857264	-0.5355721708669976	100.0
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.7161981149225838	-0.572013554994586	-0.6487847384629154	100.0
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.7809354164529136	-0.6468577984918344	-0.7131775748319256	100.0
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.4529640641659367	-0.3441485635077779	-0.40929987717077765	100.0
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.5419347813298255	-0.4046266608301555	-0.46334118050485973	100.0
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.6215604119725123	-0.48804903787882875	-0.5632383725116092	100.0
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.679970101146014	-0.5545601101970666	-0.6218239251110217	100.0
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	0.051478047049902796	0.22334609146906714	0.16078524773747185	100.0
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	0.12150218392636747	0.3418405078212575	0.25550552751800687	100.0
secondary_roi_control_dlPFC_IFJ_L_up_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.02205047751142044	0.16589487937132846	0.08366269053211908	96.96969696969697
secondary_roi_control_dlPFC_IFJ_L_up_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.01437920983699189	0.24063036029856077	0.12687602116731944	96.96969696969697
secondary_roi_control_SMA_preSMA_regulation_mean_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	regulation_mean_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_SMA_preSMA_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.1059375445945276	-0.01845184192828038	-0.06738465416395026	100.0
secondary_roi_control_SMA_preSMA_regulation_mean_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	regulation_mean_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_SMA_preSMA_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.13938034756576495	-0.010427895667206253	-0.07541753457445532	100.0
secondary_roi_control_SMA_preSMA_up_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_SMA_preSMA_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.09976671628234218	-0.015955898298746066	-0.051162712788581935	100.0
secondary_roi_control_SMA_preSMA_up_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_SMA_preSMA	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_SMA_preSMA_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.1394363654781411	-0.02181438452056457	-0.06755207017649661	100.0
secondary_fc_sensory_thalamus_insula_down_to_reg_success_z_down	secondary_sensory_FC_behavior	FC_beta_series	sensory_thalamus_S1_S2_insula	down_minus_passive	reg_success_z_down	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_FC_beta_series_sensory_thalamus_S1_S2_insula_down_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.21468816914884348	0.06216255637218794	-0.0511287996965345	90.9090909090909
secondary_fc_sensory_thalamus_insula_down_to_mean_reg_success_z	secondary_sensory_FC_behavior	FC_beta_series	sensory_thalamus_S1_S2_insula	down_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_FC_beta_series_sensory_thalamus_S1_S2_insula_down_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	33	-0.2793394234242518	0.0722470660387101	-0.07158957398622788	93.93939393939394
