path	review_unit	units_reviewed	review_method	status	notes
.github/workflows/validate.yml	lines	30	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
.gitignore	lines	42	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
AUTHORS.md	lines	12	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
CITATION.cff	lines	25	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
CONTRIBUTING.md	lines	13	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
LICENSE	lines	21	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
Makefile	lines	6	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
README.md	lines	98	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
code/01_behavior/prepare_behavior_table.py	lines	418	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/01_behavior/run_behavior_models.py	lines	1181	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/01_behavior/run_previous_state_prediction.py	lines	861	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/01_behavior/run_state_dependence_models.py	lines	317	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/01_behavior/validate_regulation_success.py	lines	125	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/02_preprocessing_qc/run_preprocessing_qc.py	lines	923	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/02_preprocessing_qc/smooth_functional_images.py	lines	625	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/03_glm/prepare_first_level_inputs.py	lines	896	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/03_glm/run_first_level_glm.py	lines	1098	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/03_glm/run_group_level_glm.py	lines	874	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/04_roi_signatures/build_roi_masks.py	lines	320	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/04_roi_signatures/estimate_trialwise_nps.py	lines	389	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/04_roi_signatures/run_roi_signature_analysis.py	lines	652	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/04_roi_signatures/run_signature_replication.py	lines	686	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/05_trialwise_connectivity/run_targeted_pathway_models.py	lines	615	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/05_trialwise_connectivity/run_targeted_pathway_screening.py	lines	807	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/05_trialwise_connectivity/run_trialwise_neural_state_models.py	lines	1253	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/05_trialwise_connectivity/run_trialwise_roi_connectivity.py	lines	1565	Every source line reviewed; AST syntax, identifiers, comments, docstrings, argparse destinations, paths, and public-language checks.	pass	
code/06_dcm/README.md	lines	23	Every text line reviewed for naming, portability, public tone, internal instructions, and local references.	pass	
code/06_dcm/audit_sessionwise_dcm_outputs.m	lines	152	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
code/06_dcm/get_sessionwise_dcm_base_config.m	lines	105	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
code/06_dcm/get_sessionwise_dcm_config.m	lines	77	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
code/06_dcm/get_sessionwise_dcm_variant_config.m	lines	204	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
code/06_dcm/run_all_sessionwise_dcm_variants.m	lines	18	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
code/06_dcm/run_reduced_group_peb_sensitivity.m	lines	433	Every source line reviewed; primary-function alignment, comments, generated names, paths, and public-language checks.	pass	
