model_id	family	predictor_modality	predictor_target	predictor_quantity	outcome	covariates	priority	predictor_column	covariates_used	status	n_complete	n_corr	r	p_corr	spearman_rho	spearman_p	partial_r	partial_p	n_partial	n	std_beta	se_hc3	t_hc3	p_hc3	r2	aic	bic	boot_n	boot_beta_mean	boot_ci_lo	boot_ci_hi	boot_p_sign	perm_n	perm_p	loo_n	loo_beta_min	loo_beta_max	loo_beta_mean	loo_same_sign_pct	q_fdr_hc3_by_priority	q_fdr_partial_by_priority	q_fdr_perm_by_priority
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.5625731587476426	0.0006548575576532183	-0.5728609625668449	0.000493633355215301	-0.5829114311336702	0.00037113555993777917	33	33	-0.48221727938393744	0.1504866935247775	-3.204384840208751	0.0013535142498729614	0.6363430677675732	69.25351491741957	76.73605272475197	5000	-0.46588795999485394	-0.6935887446469133	-0.2192209316351164	0.0004	10000	0.00029997000299970003	33	-0.5326265968438768	-0.41381406914378627	-0.4816018032779678	100.0	0.002707028499745923	0.0005938168959004467	0.0007999200079992001
primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.6101460376005388	0.0001631965159123449	-0.6233288770053477	0.00010665254976186236	-0.6274436909336008	9.302111331644752e-05	33	33	-0.5358365957090455	0.15171378888847648	-3.5318911987817696	0.00041259907828269184	0.6440904042486122	68.5428871338699	76.0254249412023	5000	-0.5302287587219038	-0.758609353830135	-0.2935298742473664	0.0	10000	0.00019998000199980003	33	-0.6176082977748978	-0.47597419105857264	-0.5355721708669976	100.0	0.002707028499745923	0.0003720844532657901	0.0007999200079992001
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.5264348169964644	0.0016492879996005175	-0.5641711229946524	0.0006271097203092857	-0.5902444416908526	0.0002996257117975579	33	33	-0.649950014621511	0.20076882373146016	-3.2373054866868003	0.0012066416723358394	0.36406691715619244	87.69663454005082	95.17917234738323	5000	-0.622360407902727	-0.8701152126959834	-0.3529958907059213	0.0004	10000	0.0007999200079992001	33	-0.7161981149225838	-0.572013554994586	-0.6487847384629154	100.0	0.002707028499745923	0.0005938168959004467	0.00143985601439856
primary_ec_dlpfc_vmPFC_ec_up_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_ec_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.6212581591451024	0.00011416731095113845	-0.6377005347593583	6.558379639400887e-05	-0.6520406763352995	3.9369019206103113e-05	33	33	-0.714314008784798	0.2110023865491797	-3.3853361588320623	0.0007109113497981115	0.4447293150312178	83.22059286105177	90.70313066838418	5000	-0.6851388589284669	-0.9055285390549415	-0.4370869317984067	0.0	10000	0.00029997000299970003	33	-0.7809354164529136	-0.6468577984918344	-0.7131775748319256	100.0	0.002707028499745923	0.0003149521536488249	0.0007999200079992001
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_z_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.5119747811874079	0.0023214779089297277	-0.5685160427807486	0.0005568432757302381	-0.510461829911695	0.002403961772422994	33	33	-0.4095825614718774	0.15435994793471233	-2.653425107691234	0.007967945020838823	0.5927104352653758	72.99285924246354	80.47539704979594	5000	-0.4034982063912964	-0.638480404171418	-0.19746777586290906	0.0	10000	0.0029997000299970002	33	-0.4529640641659367	-0.3441485635077779	-0.40929987717077765	100.0	0.007967945020838823	0.002403961772422994	0.0029997000299970002
primary_ec_dlpfc_vmPFC_up_minus_passive_to_reg_success_raw_up	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	reg_success_raw_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.5549305736217643	0.000803119232899629	-0.61798128342246	0.00012703125238475735	-0.5593716339812221	0.0007137321198642071	33	33	-0.46333599661623603	0.1479412231443831	-3.1318924284142473	0.0017368349935049155	0.5966668801892543	72.67072732650882	80.15326513384123	5000	-0.46440034521394247	-0.6942444179592975	-0.24605018389490227	0.0	10000	0.0008999100089991	33	-0.5419347813298255	-0.4046266608301555	-0.46334118050485973	100.0	0.002778935989607865	0.0009516428264856095	0.00143985601439856
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_z	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.4811200351992652	0.004590410570614119	-0.5421122994652406	0.0011188341368888446	-0.5280214070925159	0.0015871071570955672	33	33	-0.5639460644305223	0.20922857509777867	-2.6953587203228513	0.007031288843467611	0.29615923166145974	91.04477517394521	98.52731298127762	5000	-0.549534615774201	-0.8032242175529375	-0.2970383241696572	0.0	10000	0.0022997700229977	33	-0.6215604119725123	-0.48804903787882875	-0.5632383725116092	100.0	0.007967945020838823	0.0018138367509663625	0.0026283085977116573
primary_ec_dlpfc_vmPFC_up_minus_passive_to_mean_reg_success_raw	primary_control_value_EC_behavior	EC_lite_directed_lagged	dlPFC_IFJ_L_to_vmPFC_control_value	up_minus_passive	mean_reg_success_raw	up_first,passive_mean_rating_z,passive_sensory_slope_z	primary	pred_EC_lite_directed_lagged_dlPFC_IFJ_L_to_vmPFC_control_value_up_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.5620650966885513	0.0006639041345553898	-0.6223262032085561	0.0001102341051619882	-0.5858683525715609	0.00034065675674386267	33	33	-0.622518848416731	0.2098162783757784	-2.966971167517362	0.0030074916071258177	0.36560305332524	87.61682454247652	95.09936234980893	5000	-0.6102872955887242	-0.8322972488336503	-0.3855446229245009	0.0	10000	0.0010998900109989002	33	-0.679970101146014	-0.5545601101970666	-0.6218239251110217	100.0	0.00400998880950109	0.0005938168959004467	0.0014665200146652003
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_reg_success_z_up	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	reg_success_z_up	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	-0.020208295282284308	0.9111224294401615	0.0945855614973262	0.60057193049074	0.20007814952454817	0.2642601371565893	33	33	0.1609756184924369	0.1840895226446368	0.8744420441742436	0.3818775691517491	0.4712333492320968	81.60661253149092	89.08915033882333	5000	0.16078903342352144	-0.14407544440904999	0.4704599512846488	0.3176	10000	0.2753724627537246	33	0.051478047049902796	0.22334609146906714	0.16078524773747185	100.0	0.8435226385724532	0.7413035671016395	0.7639236076392361
secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_mean_reg_success_z	secondary_control_activity_behavior	ROI_activity	control_dlPFC_IFJ_L	regulation_mean_minus_passive	mean_reg_success_z	up_first,passive_mean_rating_z,passive_sensory_slope_z	secondary	pred_ROI_activity_control_dlPFC_IFJ_L_regulation_mean_minus_passive	up_first,passive_mean_rating_z,passive_sensory_slope_z	OK	33	33	0.17567448204207017	0.3281268400825763	0.18181818181818182	0.31121997029175347	0.2393247311209717	0.17979236050576325	33	33	0.2563042900066516	0.2548877417542245	1.0055575377720323	0.31462845850450716	0.0799591895493923	99.88434918116975	107.36688698850216	5000	0.2432406130224209	-0.19736825514871953	0.602916176842311	0.2324	10000	0.18688131186881313	33	0.12150218392636747	0.3418405078212575	0.25550552751800687	100.0	0.8435226385724532	0.7413035671016395	0.7639236076392361
