column	dtype	role	description	source_or_derivation	recommended_use	valid_range_or_levels	missing_n	missing_pct	n_unique_nonmissing	example_values	notes
subject	string/categorical	identifier	Participant identifier.	Source table / BIDS participant label	Grouping variable for subject-level clustering, random effects, and within-subject standardization.	sub-XX labels	0	0.0	33	sub-01, sub-02, sub-03, sub-04, sub-05	Primary unit for repeated-measures modeling.
sex	string/categorical	demographic	Participant sex label as available in the source table.	Source table, if available	Optional descriptive or exploratory covariate; do not overinterpret due to sample size.	Labels present in source data	0	0.0	2	M, F	Check coding before any inferential use.
age	integer	demographic	Participant age.	Source table, if available	Optional descriptive or exploratory covariate.	Numeric age values	0	0.0	16	24, 34, 29, 33, 27	Use only if complete and reliable.
run	integer	identifier / task structure	Functional run number.	Source events filename / run label	Control variable for run-level effects and design checks.	1–9	0	0.0	9	1, 2, 3, 4, 5	Regulation occurs only in run 3 and run 7.
run_index	integer	task structure	Ordinal run index within subject.	Recomputed from run order within subject	Control for run-order, fatigue, habituation, or time-on-task effects.	1–9	0	0.0	9	1, 2, 3, 4, 5	Usually identical to run for this dataset.
trial_in_run	integer	identifier / task structure	Trial index within each run.	Recomputed by sorting trials within subject and run	Control for within-run habituation or regulation fatigue.	Positive integers; passive runs have more trials than regulation runs.	0	0.0	11	1, 2, 3, 4, 5	Use centered version for regression when possible.
global_trial_index	integer	identifier / task structure	Trial index across the whole experiment within subject.	Recomputed by sorting trials within subject across runs	Control for global time, experiment-wide habituation, or carry-over effects.	1–97 per subject	0	0.0	97	1, 2, 3, 4, 5	Prefer global_trial_z_subject in regression.
trial_id	string/categorical	identifier	Unique trial identifier.	Constructed as a unique subject/run/trial key	Merging behavior with imaging regressors or trial-wise outputs.	Unique string per row	0	0.0	3201	sub-01_run-01_trial-01, sub-01_run-01_trial-02, sub-01_run-01_trial-03, sub-01_run-01_trial-04, sub-01_run-01_trial-05	Should be unique across the full file.
events_file	string/categorical	provenance	Original events file associated with the trial.	Source events file path or name	Traceability and audit trail.	File path/name strings	0	0.0	297	sub-01/func/sub-01_task-heatpainwithregulationandratings_run-01_events.tsv, sub-01/func/sub-01_task-heatpainwithregulationandratings_run-02_events.tsv, sub-01/func/sub-01_task-heatpainwithregulationandratings_run-03_events.tsv, sub-01/func/sub-01_task-heatpainwithregulationandratings_run-04_events.tsv, sub-01/func/sub-01_task-heatpainwithregulationandratings_run-05_events.tsv	Useful when validating against raw BIDS events.
condition	string/categorical	task condition	Trial condition label.	Source events / task logic	Primary categorical predictor for task validation and regulation analyses.	passive, up, down	0	0.0	3	passive, up, down	Passive means no explicit regulation instruction, not necessarily absence of spontaneous regulation.
