confounds_tsv	confounds_sha256	subject	session	task	run	run_label	acq	dir	preproc_bold_candidates_n	brain_mask_candidates_n	bold_json_candidates_n	preproc_bold	brain_mask	bold_json	n_vols_confounds	fd_valid_n	fd_mean	fd_median	fd_p95	fd_max	pct_fd_gt_0p2	pct_fd_gt_0p5	pct_fd_gt_1p0	n_fd_gt_0p2	n_fd_gt_0p5	n_fd_gt_1p0	dvars_column_used	dvars_valid_n	dvars_mean	dvars_median	dvars_p95	dvars_max	n_motion6_cols	n_motion24_cols_present	n_cosine_cols	n_acompcor_cols	n_motion_outlier_cols	n_nonsteady_cols	n_global_signal_cols	n_wm_csf_cols	motion_outliers_n_cols	motion_outliers_n_sum	motion_outlier_volumes_n	motion_outlier_volumes_pct	nonsteady_outliers_n_cols	nonsteady_outliers_n_sum	nonsteady_volumes_n	nonsteady_volumes_pct	n_acompcor_assumed_for_dof	estimated_nuisance_cols_for_dof	estimated_dof_after_nuisance	n_vols_nifti	tr_from_bold_json	motion_flag	nuisance_burden_flag	file_flag	analysis_decision	decision_reason	keep_main	sensitivity_exclude_candidate
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-01_desc-confounds_timeseries.tsv	84fd0119c0882bb3586deaf5064ec6f0b31b98ac877af87ae1a96987c749cc02	sub-01		heatpainwithregulationandratings	1	run-01			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-01_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.12386305107814187	0.10231297708702611	0.25227956547030467	1.0965838803516106	8.653846153846153	1.9230769230769231	0.4807692307692308	18	4	1	std_dvars	208	1.3538622115384615	1.1939655	2.077168399999999	4.704936	6	24	5	59	51	0	4	8	51	51	51	24.401913875598087	0	0	0	0.0	5	85	123	209	2.0	OK	WARN_OUTLIER_BURDEN	OK	KEEP_WITH_WARNING	OK,WARN_OUTLIER_BURDEN,OK	True	False
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-02_desc-confounds_timeseries.tsv	6d63764dffe2db26c37d58ca04303d70a15e192d74a85001bb024577118547c0	sub-01		heatpainwithregulationandratings	2	run-02			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-02_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.1614945554034162	0.1182716701436165	0.4648252037865213	1.5523346460803988	13.461538461538462	4.326923076923077	0.9615384615384616	28	9	2	std_dvars	208	1.6780521730769231	1.506424	3.1165571999999977	4.816926	6	24	5	48	107	0	4	8	107	107	107	51.196172248803826	0	0	0	0.0	5	141	67	209	2.0	OK	HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	OK,HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF,OK	True	True
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-03_desc-confounds_timeseries.tsv	afa18afc98731e1d026954d46aafc955f7fb9afbd1fef79b2adf99700f92de0c	sub-01		heatpainwithregulationandratings	3	run-03			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-03_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.json	191	190	0.19887665911013913	0.13460274578056394	0.5823116736999333	1.893410544255333	21.578947368421055	7.894736842105263	1.5789473684210527	41	15	3	std_dvars	190	1.368016952631579	1.1394155000000001	3.191482499999994	4.324745	6	24	4	32	42	0	4	8	42	42	42	21.98952879581152	0	0	0	0.0	5	75	115	191	2.0	WARN_FD_GT_0.5	WARN_OUTLIER_BURDEN	OK	KEEP_WITH_WARNING	WARN_FD_GT_0.5,WARN_OUTLIER_BURDEN,OK	True	False
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-04_desc-confounds_timeseries.tsv	7b5ee970090bdb4e0a7bf805b7b975aea1c8478792675a56eea91b6bfbbb47dc	sub-01		heatpainwithregulationandratings	4	run-04			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-04_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.13672301128426143	0.1070931800575531	0.3437163464543245	1.0090806306119393	8.173076923076923	3.3653846153846154	0.9615384615384616	17	7	2	std_dvars	208	1.3912369999999998	1.255749	2.30596855	3.660555	6	24	5	53	27	0	4	8	27	27	27	12.918660287081341	0	0	0	0.0	5	61	147	209	2.0	OK	OK	OK	KEEP	OK	True	False
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-05_desc-confounds_timeseries.tsv	e6bf42fae07f64271f4c5f215f8a6c17963d69f874867f7c38621ef9f2407fb3	sub-01		heatpainwithregulationandratings	5	run-05			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-05_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.29564337237606986	0.13029973254989013	1.3706711610528812	3.0020828201735816	26.442307692307693	12.01923076923077	7.211538461538461	55	25	15	std_dvars	208	1.5453870144230772	1.281833	3.39932	4.522728	6	24	5	35	60	5	4	8	60	60	60	28.708133971291865	5	5	5	2.3923444976076556	5	99	109	209	2.0	WARN_FD_MEAN,BAD_FD_GT_0.5,WARN_FD_MAX	WARN_OUTLIER_BURDEN	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	WARN_FD_MEAN,BAD_FD_GT_0.5,WARN_FD_MAX,WARN_OUTLIER_BURDEN,OK	True	True
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-06_desc-confounds_timeseries.tsv	9ba68e70ffea289dbfcc2b821f501ccd41773bf8b89321e2d860a251248d726a	sub-01		heatpainwithregulationandratings	6	run-06			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-06_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.1968380353656947	0.10738139710036004	0.6602862256208114	3.282670755666233	13.461538461538462	5.769230769230769	3.3653846153846154	28	12	7	std_dvars	208	1.5543432211538462	1.307357	3.7621461499999995	4.720635	6	24	5	42	71	0	4	8	71	71	71	33.97129186602871	0	0	0	0.0	5	105	103	209	2.0	WARN_FD_GT_0.5,WARN_FD_MAX	WARN_OUTLIER_BURDEN	OK	KEEP_WITH_WARNING	WARN_FD_GT_0.5,WARN_FD_MAX,WARN_OUTLIER_BURDEN,OK	True	False
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-07_desc-confounds_timeseries.tsv	3772593a376db1fbe6962758f6a04c9b989661a942a262eb2f7a9e6b160c8c1c	sub-01		heatpainwithregulationandratings	7	run-07			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-07_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.json	191	190	0.13805197156170093	0.09379232630264644	0.3378113832262476	1.9603650471393927	10.526315789473683	2.631578947368421	0.5263157894736842	20	5	1	std_dvars	190	1.7061083	1.610588	2.9293312999999994	4.540195	6	24	4	43	108	0	4	8	108	108	108	56.54450261780105	0	0	0	0.0	5	141	49	191	2.0	OK	HIGH_OUTLIER_BURDEN,SEVERE_LOW_ESTIMATED_DOF	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	OK,HIGH_OUTLIER_BURDEN,SEVERE_LOW_ESTIMATED_DOF,OK	True	True
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-08_desc-confounds_timeseries.tsv	244aceff23f2542109d43877117c12d3525c4a2eff8c7d75885dabd1cbe2106e	sub-01		heatpainwithregulationandratings	8	run-08			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-08_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-08_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-08_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.10579535256135308	0.0854189835056732	0.18252013304552145	1.2396275719238334	4.326923076923077	1.4423076923076923	0.4807692307692308	9	3	1	std_dvars	208	1.5029399038461537	1.331127	2.412082099999998	5.051065	6	24	5	59	76	0	4	8	76	76	76	36.36363636363637	0	0	0	0.0	5	110	98	209	2.0	OK	HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	OK,HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF,OK	True	True
<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-09_desc-confounds_timeseries.tsv	c328e55aa676207ef5d35fe815aba1570e74fda08ec8dbf46258dd0c70958066	sub-01		heatpainwithregulationandratings	9	run-09			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-09_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-01/func/sub-01_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.11894726976806738	0.08952104189420315	0.24586067359391273	1.477572043273012	6.730769230769231	1.9230769230769231	1.4423076923076923	14	4	3	std_dvars	208	1.936480528846154	1.7002265	4.305843999999998	7.128871	6	24	5	53	130	0	4	8	130	130	130	62.20095693779905	0	0	0	0.0	5	164	44	209	2.0	OK	HIGH_OUTLIER_BURDEN,SEVERE_LOW_ESTIMATED_DOF	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	OK,HIGH_OUTLIER_BURDEN,SEVERE_LOW_ESTIMATED_DOF,OK	True	True
<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-01_desc-confounds_timeseries.tsv	20279eea6f67fbb280a6549b517bd52d800e11db70bce17133e900e767b7d371	sub-02		heatpainwithregulationandratings	1	run-01			1	2	1	<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-01_desc-brain_mask.nii.gz	<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.json	209	208	0.16265277361298106	0.1221329571501681	0.30784836941642624	2.1989668048847504	14.423076923076922	2.403846153846154	0.9615384615384616	30	5	2	std_dvars	208	1.7408967836538463	1.5925825	3.0431909499999987	5.227264	6	24	5	34	120	0	4	8	120	120	120	57.41626794258373	0	0	0	0.0	5	154	54	209	2.0	WARN_FD_MAX	HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF	OK	KEEP_FOR_MAIN_BUT_SENSITIVITY_EXCLUDE_CANDIDATE	WARN_FD_MAX,HIGH_OUTLIER_BURDEN,WARN_LOW_ESTIMATED_DOF,OK	True	True
